Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
1,5,1.0634375,0.56290625,0.43,0.104757427051806,0.529327064354981,0.933676168086982,570.232611896683,640.625,226.5625,660.15625,325.536991205358,6.06039025441818,9.0840228169147,3.6531667841713,10.7821447136365,4.50100451053659,0,A
1,5,1.265,0.59528125,0.385,0.284009782367036,0.470578063241106,0.774925889328063,563.508835284473,339.84375,253.90625,492.1875,340.466507360821,3.59635622330755,8.43119699537724,3.70211816591396,10.5292137007473,5.27603507122907,0,K
1,5,1.27053125,0.592875,0.395,0.0211766442028629,0.466635511719999,0.777529084782448,505.69003813351,347.65625,234.375,617.1875,333.899129977237,9.33617479183652,10.0646523460274,3.35167535459516,10.5497133169263,4.9431592276432,0,K
1,5,1.4326875,0.59871875,0.435,0.0446703164874474,0.417899053352528,0.721524233302796,562.523587740514,351.5625,234.375,652.34375,335.946953015346,8.75810838266993,9.35920833141594,3.46138444167328,12.1665572274008,5.61595852202301,0,K
1,6,1.52446875,0.66084375,0.335,0.0465316497212201,0.433491175204477,0.653239858147305,507.190226512503,371.09375,300.78125,578.125,348.214244497342,10.0598279285633,10.9951086182457,3.10256567684001,10.6761699288206,4.66310805581478,0,S
1,7,1.7618125,0.9003125,0.34,0.0609801521843239,0.511014934903686,0.703998013409486,511.754861996993,347.65625,296.875,671.875,342.000434569091,8.56922855967749,12.4533329286107,3.01613785233251,12.742715411484,5.92828923659736,0,S
1,7,1.44734375,1.27803125,0.205,0,0.883018460541941,1.02465723847566,466.454143915144,335.9375,300.78125,609.375,334.265639999534,11.717055751049,11.8532614457822,3.20409795134907,8.28478368557081,4.77559449611443,0,K
1,4,0.4821875,0.14565625,0.285,0.033698399326032,0.302073882047958,0.893130265716137,459.17248505211,363.28125,191.40625,542.96875,228.898125303001,11.6615409950591,14.8170674397787,3.56334528028712,16.2758348234991,4.60506661242854,0,P
1,4,0.73759375,0.4136875,0.29,0.18306219284867,0.560860907511756,0.954031267211794,521.843768862015,550.78125,175.78125,636.71875,264.663790000938,4.60700749746162,8.25874789838561,3.65055024488445,13.7982379075381,5.65409786124836,0,A
1,4,0.781875,0.4571875,0.285,0.101035130490388,0.584732214228617,0.949240607513988,520.098874226841,605.46875,207.03125,621.09375,283.400683474282,6.59918650401021,9.39882286826149,3.48251640621632,14.9029386960396,6.54893157211066,0,A
1,4,0.88296875,0.511843749999999,0.33,0.100403454133635,0.579685011502388,0.953424172712794,518.343013924877,324.21875,226.5625,660.15625,297.180888930908,7.42416381281241,8.04209921756963,3.50064097173166,15.245155235466,6.64650088999143,0,A
1,4,0.93975,0.566375,0.31,0.0780434276593622,0.602686884809789,0.932561851556264,517.505987173188,320.3125,222.65625,625,294.256934932267,7.29160093754383,8.51116579598572,3.33392896107048,14.9164948556235,6.95289407217242,0,A
1,4,1.04915625,0.731656249999999,0.275,0.0772919521057961,0.697375867512584,0.959491257856015,495.22517225008,316.40625,218.75,617.1875,298.086559217374,7.03244245149539,9.83663067023193,3.1137962970578,15.6256457630584,6.65706000833524,0,A
1,4,1.6358125,1.2448125,0.415,0.0749040059602269,0.760975050624689,1.0146716081458,372.820223363812,265.625,222.65625,359.375,252.703659849444,12.6913674620956,13.2592336165776,3.51249617012825,17.1620147133701,4.8731312231362,0,A
1,3,0.67075,0.31196875,0.215,0.0107617051013277,0.46510436079016,0.78564107342527,576.104542018254,574.21875,183.59375,585.9375,203.064694982754,18.6860743673406,30.0727022609859,3.37765366576384,20.5344208286414,5.19228087395934,0,P
1,2,1.01025,0.5521875,0.385,0.111633517894151,0.546585003711952,0.927678792378123,637.53839471374,582.03125,246.09375,714.84375,315.898225836651,4.54276040651382,7.39946959959506,3.89847181845091,12.3158517714657,5.65660204438089,0,A
1,2,1.40603125,0.58509375,0.4,0.16915588745166,0.4161313982175,0.700620096459449,596.815408456154,632.8125,226.5625,648.4375,328.954143038161,5.60176147454992,4.83619438886193,3.54356312919573,12.7433935050249,6.1036353307831,0,S
1,2,1.03846875,0.56321875,0.41,0.128761434761675,0.542355029941921,0.937167103006229,609.031872549971,343.75,226.5625,687.5,328.405275015837,6.02346646546731,6.97379496255391,3.5813557287111,13.1200639377261,5.41613211833118,0,A
1,2,0.9679375,0.62090625,0.31,0.0258595641646489,0.641473493898108,0.961742106282688,579.895619847273,644.53125,230.46875,679.6875,323.967631635169,9.50228300594454,7.52429447165486,3.41742251343812,14.4636508519508,7.33566492630421,0,A
1,2,1.100875,0.74990625,0.29,0.00979306821084902,0.681191097990235,0.944617917565572,553.884527152512,335.9375,234.375,671.875,327.593661355058,8.27052153131579,7.83841907626506,3.51661918728706,12.0712524931678,5.41570668225749,0,A
1,2,1.13084375,0.837968749999999,0.245,0.0402895987620206,0.741011965623013,0.957664354602481,517.03189152441,335.9375,234.375,667.96875,314.453886228994,8.50981522992818,9.99628983655778,3.35641939455556,12.5625727200673,5.14994697931058,0,A
1,2,1.36203125,0.998218749999999,0.355,0.00699765979901803,0.732889755649879,0.993529884134449,428.643329131099,335.9375,218.75,421.875,305.225720113199,11.0831133504817,13.4755880177184,3.0912639938688,12.3608158918904,5.27132004401566,0,A
1,2,0.83021875,0.56525,0.205,0.0161472448057814,0.680844656905183,0.927767531147664,574.38085664298,339.84375,218.75,703.125,281.897448095641,8.64309505553599,9.02300175566984,3.62266878624718,13.6252156720424,5.70713535645675,0,A
1,2,1.06234375,0.7290625,0.275,0.159901164842923,0.686277393734372,0.945138991028092,602.213597885618,347.65625,226.5625,691.40625,324.985982897873,5.0844732142675,4.1163077711187,3.78695514359919,13.8646876881201,6.15465452270762,0,A
1,2,0.9953125,0.64909375,0.29,0.111833223446674,0.65215070643642,0.943516483516483,586.184573250385,378.90625,222.65625,722.65625,335.937719387946,4.9686557128452,2.9884749548086,3.65216743976945,12.8858848203404,6.4379193384336,0,A
1,2,0.93471875,0.6706875,0.235,0.0628510296870821,0.717528668382869,0.968941192203536,540.490272366342,398.4375,226.5625,785.15625,369.00724341026,13.9044584105097,12.1977157462972,2.96045625863156,16.1154420509292,6.61416879808297,0,A
1,2,1.4554375,0.982468749999999,0.48,0.0124530327428878,0.675033280371022,1.00483102160003,400.2042132196,332.03125,230.46875,390.625,308.193209201961,12.5801188087603,17.1730342432164,2.96933806543699,15.5959844174231,6.02778430967513,0,A
1,1,0.86265625,0.45059375,0.385,0,0.522332910704582,0.968628871581235,326.644862587166,265.625,175.78125,355.46875,214.21254271595,17.4370363156513,21.4326244271064,2.91657794221247,19.7348119699576,5.92899599160913,0,A
